NASPerf Test Results
Test Name,Throughput(MB/s),ReadSize(B),WriteSize(B),    AveReadTime(usecs),AveWriteTime(usecs),AveOpenTime(usecs),MaxReadTime(usecs),MaxWriteTime(usecs),MaxOpenTime(usecs)
NASName,HDVideo_2Play,MaxReadTime(usecs), 62493
NASName,HDVideo_2Play,MaxWriteTime(usecs), 0
NASName,HDVideo_2Play,MaxOpenTime(usecs), 14775
NASName,HDVideo_4Play,MaxReadTime(usecs), 163379
NASName,HDVideo_4Play,MaxWriteTime(usecs), 0
NASName,HDVideo_4Play,MaxOpenTime(usecs), 11421
NASName,HDVideo_1Record,MaxReadTime(usecs), 0
NASName,HDVideo_1Record,MaxWriteTime(usecs), 338027
NASName,HDVideo_1Record,MaxOpenTime(usecs), 27279
NASName,HDVideo_1Play_1Record,MaxReadTime(usecs), 389775
NASName,HDVideo_1Play_1Record,MaxWriteTime(usecs), 619
NASName,HDVideo_1Play_1Record,MaxOpenTime(usecs), 17603
NASName,ContentCreation,MaxReadTime(usecs), 18766
NASName,ContentCreation,MaxWriteTime(usecs), 3085925
NASName,ContentCreation,MaxOpenTime(usecs), 50569
NASName,OfficeProductivity,MaxReadTime(usecs), 18646
NASName,OfficeProductivity,MaxWriteTime(usecs), 250552
NASName,OfficeProductivity,MaxOpenTime(usecs), 473956
NASName,FileCopyToNAS,MaxReadTime(usecs), 0
NASName,FileCopyToNAS,MaxWriteTime(usecs), 376442
NASName,FileCopyToNAS,MaxOpenTime(usecs), 13766
NASName,FileCopyFromNAS,MaxReadTime(usecs), 319889
NASName,FileCopyFromNAS,MaxWriteTime(usecs), 0
NASName,FileCopyFromNAS,MaxOpenTime(usecs), 19928
NASName,DirectoryCopyToNAS,MaxReadTime(usecs), 10
NASName,DirectoryCopyToNAS,MaxWriteTime(usecs), 11188
NASName,DirectoryCopyToNAS,MaxOpenTime(usecs), 70116
NASName,DirectoryCopyFromNAS,MaxReadTime(usecs), 66585
NASName,DirectoryCopyFromNAS,MaxWriteTime(usecs), 0
NASName,DirectoryCopyFromNAS,MaxOpenTime(usecs), 39351
NASName,PhotoAlbum,MaxReadTime(usecs), 58430
NASName,PhotoAlbum,MaxWriteTime(usecs), 11
NASName,PhotoAlbum,MaxOpenTime(usecs), 15516
